                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.4626,                 3.0276,                 3.9981,                0.00225,                0.03448,                0.00132,                0.00041,                 3.6065,                 3.9955,                  4.137,             0.00037039,             0.00037039,             0.00037039
                     35,                 3.5204,                  3.043,                 3.9853,                0.00227,                0.03448,                0.00127,                0.00043,                 3.6133,                 4.0073,                 4.1367,               0.000376,               0.000376,               0.000376
                     36,                 3.3711,                 2.9369,                 3.9661,                0.00227,                0.03448,                0.00127,                0.00043,                 3.6133,                 4.0073,                 4.1367,             0.00038128,             0.00038128,             0.00038128
                     37,                 3.2329,                 2.9755,                  4.008,                0.00227,                0.03448,                0.00124,                0.00046,                 3.6223,                 4.0224,                  4.138,             0.00038624,             0.00038624,             0.00038624
                     38,                 3.2892,                 2.9859,                 3.9333,                0.00227,                0.03448,                0.00124,                0.00046,                 3.6223,                 4.0224,                  4.138,             0.00039086,             0.00039086,             0.00039086
                     39,                 3.5339,                 3.0058,                 3.9521,                0.00227,                0.03448,                0.00122,                0.00024,                 3.6328,                 4.0388,                 4.1401,             0.00039515,             0.00039515,             0.00039515
                     40,                 3.3374,                 2.9102,                 3.9362,                0.00227,                0.03448,                0.00122,                0.00024,                 3.6328,                 4.0388,                 4.1401,             0.00039911,             0.00039911,             0.00039911
                     41,                 3.5682,                 2.9031,                 3.8828,                0.00229,                0.03448,                0.00123,                0.00021,                 3.6429,                 4.0554,                 4.1421,             0.00040275,             0.00040275,             0.00040275
                     42,                 3.1507,                 2.8938,                 3.9664,                0.00229,                0.03448,                0.00123,                0.00021,                 3.6429,                 4.0554,                 4.1421,             0.00040605,             0.00040605,             0.00040605
                     43,                 3.4125,                 2.8771,                 3.9547,                0.00228,                0.03448,                0.00123,                0.00045,                 3.6526,                 4.0692,                 4.1446,             0.00040902,             0.00040902,             0.00040902
                     44,                 3.2593,                 2.7424,                 3.8659,                0.00228,                0.03448,                0.00123,                0.00045,                 3.6526,                 4.0692,                 4.1446,             0.00041166,             0.00041166,             0.00041166
                     45,                 3.2021,                 2.7776,                 3.8941,                 0.0017,                0.02586,                 0.0009,                0.00032,                 3.6612,                 4.0812,                 4.1479,             0.00041398,             0.00041398,             0.00041398
                     46,                 3.2102,                 2.8068,                  3.955,                 0.0017,                0.02586,                 0.0009,                0.00032,                 3.6612,                 4.0812,                 4.1479,             0.00041596,             0.00041596,             0.00041596
                     47,                 3.4087,                 2.6612,                 3.8076,                0.00223,                0.03448,                0.00121,                0.00051,                 3.6702,                  4.088,                 4.1506,             0.00041761,             0.00041761,             0.00041761
                     48,                 3.0902,                 2.6579,                 3.8392,                0.00223,                0.03448,                0.00121,                0.00051,                 3.6702,                  4.088,                 4.1506,             0.00041893,             0.00041893,             0.00041893
                     49,                 3.3828,                 2.6427,                 3.7916,                 0.0022,                0.03448,                0.00123,                0.00046,                 3.6732,                 4.0895,                 4.1511,             0.00041992,             0.00041992,             0.00041992
                     50,                 3.1722,                  2.635,                 3.8211,                 0.0022,                0.03448,                0.00123,                0.00046,                 3.6732,                 4.0895,                 4.1511,             0.00042059,             0.00042059,             0.00042059
                     51,                 3.2681,                 2.5867,                 3.7874,                0.00221,                0.03448,                0.00127,                 0.0005,                 3.6838,                 4.0891,                 4.1527,             0.00042092,             0.00042092,             0.00042092
                     52,                 3.1963,                 2.4267,                 3.7535,                0.00221,                0.03448,                0.00127,                 0.0005,                 3.6838,                 4.0891,                 4.1527,             0.00042092,             0.00042092,             0.00042092
                     53,                 3.1967,                 2.5566,                  3.776,                0.00221,                0.03448,                0.00127,                 0.0005,                 3.6838,                 4.0891,                 4.1527,             0.00042059,             0.00042059,             0.00042059
                     54,                 3.1562,                  2.418,                 3.7202,                0.00222,                0.03448,                 0.0013,                 0.0005,                 3.7043,                  4.096,                  4.158,             0.00041993,             0.00041993,             0.00041993
                     55,                 3.1007,                 2.6357,                  3.835,                0.00222,                0.03448,                 0.0013,                 0.0005,                 3.7043,                  4.096,                  4.158,             0.00041894,             0.00041894,             0.00041894
                     56,                 3.1077,                 2.4938,                 3.7774,                0.00222,                0.03448,                 0.0013,                 0.0005,                 3.7043,                  4.096,                  4.158,             0.00041763,             0.00041763,             0.00041763
                     57,                 3.1474,                  2.476,                 3.7451,                0.00221,                0.03448,                 0.0013,                 0.0005,                  3.744,                 4.1155,                 4.1727,             0.00041598,             0.00041598,             0.00041598
                     58,                 3.1683,                 2.3661,                 3.6906,                0.00221,                0.03448,                 0.0013,                 0.0005,                  3.744,                 4.1155,                 4.1727,               0.000414,               0.000414,               0.000414
                     59,                 3.3738,                 2.4241,                 3.6923,                0.00221,                0.03448,                 0.0013,                 0.0005,                  3.744,                 4.1155,                 4.1727,             0.00041169,             0.00041169,             0.00041169
                     60,                 3.1131,                 2.4226,                  3.729,                0.00186,                0.03448,                0.00113,                0.00049,                 3.7834,                  4.152,                 4.1928,             0.00040905,             0.00040905,             0.00040905
                     61,                 3.1304,                 2.2966,                 3.6374,                0.00186,                0.03448,                0.00113,                0.00049,                 3.7834,                  4.152,                 4.1928,             0.00040608,             0.00040608,             0.00040608
                     62,                 2.9862,                  2.385,                 3.7485,                0.00186,                0.03448,                0.00113,                0.00049,                 3.7834,                  4.152,                 4.1928,             0.00040278,             0.00040278,             0.00040278
                     63,                 3.0747,                 2.2979,                 3.6786,                0.00181,                0.03448,                0.00112,                0.00051,                 3.8334,                  4.202,                 4.2231,             0.00039915,             0.00039915,             0.00039915
                     64,                 3.0017,                 2.2778,                 3.6207,                0.00181,                0.03448,                0.00112,                0.00051,                 3.8334,                  4.202,                 4.2231,             0.00039519,             0.00039519,             0.00039519
                     65,                 3.0995,                 2.2738,                 3.6151,                0.00181,                0.03448,                0.00112,                0.00051,                 3.8334,                  4.202,                 4.2231,              0.0003909,              0.0003909,              0.0003909
                     66,                 2.9811,                 2.3328,                 3.6506,                0.00181,                0.03448,                0.00111,                0.00046,                 3.8739,                 4.2473,                 4.2523,             0.00038629,             0.00038629,             0.00038629
                     67,                 2.8762,                 2.2889,                 3.6016,                0.00181,                0.03448,                0.00111,                0.00046,                 3.8739,                 4.2473,                 4.2523,             0.00038134,             0.00038134,             0.00038134
                     68,                 2.9708,                 2.3578,                 3.6665,                0.00181,                0.03448,                0.00111,                0.00046,                 3.8739,                 4.2473,                 4.2523,             0.00037606,             0.00037606,             0.00037606
                     69,                 2.9913,                 2.2263,                 3.5885,                0.00181,                0.03448,                0.00132,                0.00057,                 3.8946,                 4.2815,                 4.2701,             0.00037045,             0.00037045,             0.00037045
                     70,                 3.0462,                 2.3088,                 3.6256,                0.00181,                0.03448,                0.00132,                0.00057,                 3.8946,                 4.2815,                 4.2701,             0.00036451,             0.00036451,             0.00036451
                     71,                 3.0074,                 2.2479,                 3.5444,                0.00181,                0.03448,                0.00132,                0.00057,                 3.8946,                 4.2815,                 4.2701,             0.00035824,             0.00035824,             0.00035824
